timestamp,service_name,endpoint,status_code,response_time_ms,release_version,server_region
2025-12-12 17:01:25.092159,auth-service,,200.0,160.0,v1.1,us-west
2025-12-03 20:48:25.092159,order-service,/Login,,,v2.0,
2025-12-29 06:45:25.092159,auth-service,/profile,201.0,222.0,v1.1,
2025-12-11 06:57:25.092159,user-service,/login/,200.0,1687.0,v2.0,us-west
2025-12-22 12:31:25.092159,auth-service,,500.0,,v2.0,us-east
2025-11-28 23:57:25.092159,,/login/,,420.0,,us-west
2025-11-24 18:25:25.092159,user-service,/login,201.0,-1.0,v1.0,us-east
2025-12-06 03:55:25.092159,,/Login,404.0,-1.0,v2.0,
2025-12-17 16:42:25.092159,auth-service,/Login,999.0,1613.0,v1.0,ap-south
2025-11-30 17:31:25.092159,user-service,,503.0,-1.0,v1.0,ap-south
2025-11-20 23:52:25.092159,auth-service,/login,404.0,,v1.0,eu-central
2025-11-25 16:44:25.092159,order-service,,503.0,-1.0,,ap-south
2025-11-25 06:14:25.092159,user-service,/profile,401.0,418.0,v1.0,us-west
2025-12-18 11:22:25.092159,,/login/,401.0,235.0,v2.0,
2025-12-29 20:35:25.092159,auth-service,,200.0,,v1.0,eu-central
2025-12-05 10:07:25.092159,user-service,/Login,200.0,332.0,v1.0,eu-central
2025-11-26 12:12:25.092159,,/login,200.0,260.0,v1.0,us-east
2025-12-08 11:46:25.092159,auth-service,/Login,404.0,-1.0,v1.0,ap-south
2025-11-22 00:40:25.092159,,/profile,400.0,,,ap-south
2026-01-04 14:57:25.092159,order-service,/Login,201.0,,v1.0,eu-central
2025-12-08 11:08:25.092159,,,999.0,301.0,,
2025-11-21 05:29:25.092159,user-service,/login/,404.0,,v1.0,us-east
2025-12-07 10:07:25.092159,order-service,/profile,,,v2.0,
2025-12-12 04:55:25.092159,order-service,/Login,,281.0,v2.0,us-east
2025-12-21 18:53:25.092159,auth-service,/Login,999.0,-1.0,,us-east
2025-12-09 19:59:25.092159,user-service,,999.0,,v2.0,us-west
2025-12-20 11:53:25.092159,order-service,,401.0,,,
2025-12-12 14:02:25.092159,order-service,/login/,503.0,1387.0,,us-west
2026-01-06 00:57:25.092159,order-service,/profile,404.0,1056.0,v1.0,ap-south
2025-11-27 02:57:25.092159,order-service,,400.0,-1.0,v2.0,us-east
2025-11-14 19:14:25.092159,user-service,,503.0,,,eu-central
2025-12-27 05:35:25.092159,user-service,/login,404.0,1327.0,,us-west
2026-01-02 01:48:25.092159,,/profile,500.0,,v1.0,eu-central
2025-11-11 09:22:25.092159,user-service,/login/,201.0,,v2.0,eu-central
2026-01-07 09:12:25.092159,order-service,,999.0,,,eu-central
